Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.dk.smart.json	3339	-	0	0	0	0	0	0	2	761	0	0	0	0	0	0	0	0	0	0	50	32	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-dk-smart-server.json	3023	14	3	0	0	1	0	0	1	28	0	0	0	0	0	0	0	0	0	0	23	25	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-example-ipa-server.json	5326	21	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	42	15	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-dk-smart-server-profile.json	1880	13	1	0	0	0	0	77	0	40	0	0	0	0	0	0	0	1	0	0	349	1955	0	0	0	8	1	0
